Full Name,Academic Performance,Attendance Percentage,Seat Zone,Grades,Academic Stress,Motivation,Depression,Sleep Disorder,Study Life Balance,Family Pressures,Parents Marital Status,Family Income Level,Housing Status,Has Private Study Room,Daily Food Availability,Has School Uniform,Has Stationery,Receives Private Tutoring,Daily Study Hours,Works After School,Has Electronic Device,Device Usage Purpose,Has Social Media Accounts,Daily Screen Time,Social Media Impact On Studies,Content Type Watched,Plays Video Games,Daily Gaming Hours
Bobby Gillespie,Good,99.55,Middle,Mathematics:69.01; Art:66.26; Physics:68.55; Chemistry:75.90; History:73.12; English Language:64.61; Geography:71.02; Biology:71.40,Low,Moderate,TRUE,Not Specified,Needs Improvement,Low,Married,2891.38,Shared,TRUE,TRUE,FALSE,FALSE,TRUE,2.7,FALSE,TRUE,Gaming,FALSE,2.4,None,None,TRUE,1.1
Mr. Walter Smith,Good,91.78,Side,Mathematics:70.64; Art:84.70; Physics:76.33; Chemistry:79.35; History:88.79; English Language:75.15; Geography:70.67; Biology:87.77,Low,Moderate,TRUE,Not Specified,Moderate,Low,Married,1331.16,Not Specified,TRUE,TRUE,TRUE,TRUE,TRUE,5.4,TRUE,FALSE,Not Specified,FALSE,0,None,None,FALSE,0
Chelsea Buckley,Average,84.12,Side,Mathematics:68.20; Art:70.84; Physics:58.74; Chemistry:72.64; History:69.51; English Language:60.31; Geography:61.31; Biology:71.00,Moderate,Moderate,FALSE,Low,Good,Moderate,Single,3059.14,Temporary Shelter,TRUE,FALSE,TRUE,FALSE,FALSE,5.9,TRUE,FALSE,Not Specified,FALSE,0,None,None,FALSE,0
Robert Jones,Average,83.96,Side,Mathematics:48.37; Art:62.42; Physics:49.88; Chemistry:60.18; History:57.78; English Language:44.22; Geography:55.67; Biology:52.78,Low,Moderate,TRUE,Not Specified,Needs Improvement,High,Separated,4285.51,Rented,FALSE,TRUE,TRUE,FALSE,FALSE,4.3,TRUE,TRUE,Not Specified,FALSE,0,None,None,TRUE,1.5
Jacqueline Cook,Average,82.99,Back,Mathematics:54.41; Art:44.65; Physics:54.82; Chemistry:48.58; History:51.43; English Language:55.85; Geography:58.30; Biology:56.56,Moderate,Low,TRUE,Not Specified,Good,Moderate,Separated,1150.26,Owned,FALSE,FALSE,FALSE,FALSE,FALSE,3.7,FALSE,TRUE,Gaming,FALSE,4,None,None,TRUE,1.5
Julie Garza,Good,99.36,Front,Mathematics:83.89; Art:79.32; Physics:72.83; Chemistry:71.73; History:80.96; English Language:72.65; Geography:67.55; Biology:67.29,High,High,FALSE,High,Needs Improvement,Low,Single,2238.26,Rented,FALSE,FALSE,TRUE,TRUE,FALSE,3.7,FALSE,FALSE,Not Specified,FALSE,0,None,None,FALSE,0
Samantha Vaughan,Good,75.16,Side,Mathematics:91.04; Art:90.03; Physics:91.52; Chemistry:83.76; History:87.88; English Language:81.45; Geography:96.29; Biology:88.39,High,High,TRUE,Low,Needs Improvement,Low,Divorced,4189.4,Temporary Shelter,FALSE,TRUE,TRUE,TRUE,FALSE,5.5,FALSE,FALSE,Not Specified,FALSE,0,None,None,TRUE,0.7
Julie Clark,Average,93.24,Side,Mathematics:71.24; Art:70.25; Physics:76.13; Chemistry:77.58; History:68.03; English Language:62.54; Geography:70.71; Biology:77.45,Low,Low,FALSE,Not Specified,Needs Improvement,None,Divorced,2963.02,Rented,TRUE,TRUE,FALSE,TRUE,TRUE,5.4,TRUE,FALSE,Not Specified,FALSE,0,None,None,FALSE,0
Richard Lopez,Average,90.6,Side,Mathematics:55.48; Art:50.72; Physics:48.02; Chemistry:55.46; History:53.87; English Language:59.02; Geography:56.41; Biology:61.20,Moderate,Moderate,TRUE,High,Good,Low,Married,1568.66,Temporary Shelter,TRUE,TRUE,TRUE,FALSE,FALSE,5.5,FALSE,TRUE,Not Specified,FALSE,0,None,None,TRUE,0.7
Robert Jackson,Average,80.97,Side,Mathematics:62.00; Art:60.46; Physics:56.50; Chemistry:53.41; History:55.48; English Language:61.79; Geography:57.34; Biology:56.41,High,High,TRUE,High,Needs Improvement,None,Single,2822.86,Rented,TRUE,FALSE,TRUE,TRUE,TRUE,3.9,TRUE,FALSE,Not Specified,FALSE,0,None,None,FALSE,0
Peter Rice,Average,75.7,Middle,Mathematics:71.83; Art:65.00; Physics:61.85; Chemistry:69.37; History:71.86; English Language:63.90; Geography:71.14; Biology:69.92,Moderate,Low,TRUE,High,Moderate,Moderate,Single,1530.52,Rented,TRUE,FALSE,FALSE,TRUE,TRUE,4.6,FALSE,TRUE,Gaming,FALSE,2.7,None,None,FALSE,0
Jerry Velasquez,Average,85.92,Middle,Mathematics:42.72; Art:55.23; Physics:52.59; Chemistry:47.92; History:62.18; English Language:60.33; Geography:62.26; Biology:65.89,High,Low,TRUE,Low,Good,Moderate,Widowed,2713.16,Rented,TRUE,TRUE,TRUE,FALSE,FALSE,4.1,FALSE,TRUE,Not Specified,FALSE,0,None,None,FALSE,0
James Vazquez,Average,93.09,Side,Mathematics:57.29; Art:57.64; Physics:48.74; Chemistry:45.96; History:42.83; English Language:40.36; Geography:51.35; Biology:45.76,Moderate,High,TRUE,Not Specified,Moderate,Low,Separated,1328.48,Owned,TRUE,FALSE,FALSE,FALSE,TRUE,5.8,TRUE,FALSE,Not Specified,FALSE,0,None,None,TRUE,1.2
Nathan Lowery,Average,96.71,Back,Mathematics:72.11; Art:62.43; Physics:66.46; Chemistry:58.87; History:74.40; English Language:57.21; Geography:56.58; Biology:57.02,Low,Moderate,TRUE,Moderate,Moderate,None,Widowed,2759.76,Rented,FALSE,TRUE,FALSE,FALSE,TRUE,2.1,FALSE,TRUE,Not Specified,FALSE,0,None,None,TRUE,1.9
Nicholas Blair,Average,97.03,Front,Mathematics:51.34; Art:58.12; Physics:61.12; Chemistry:50.82; History:56.59; English Language:65.22; Geography:58.41; Biology:58.49,Moderate,Moderate,FALSE,Moderate,Moderate,Low,Single,1332.6,Rented,TRUE,TRUE,FALSE,TRUE,FALSE,5.8,TRUE,FALSE,Not Specified,FALSE,0,None,None,TRUE,1.2
Robert Vincent,Average,90.48,Side,Mathematics:45.18; Art:49.37; Physics:38.27; Chemistry:47.89; History:49.42; English Language:47.44; Geography:40.11; Biology:45.17,Moderate,Moderate,FALSE,Moderate,Moderate,Low,Widowed,4230.14,Not Specified,FALSE,TRUE,TRUE,FALSE,TRUE,3.2,FALSE,FALSE,Not Specified,FALSE,0,None,None,FALSE,0
Wanda Lawrence,Average,94.16,Middle,Mathematics:75.45; Art:68.63; Physics:58.31; Chemistry:61.46; History:70.69; English Language:75.85; Geography:70.97; Biology:63.17,High,Moderate,FALSE,Moderate,Moderate,Moderate,Separated,1278.55,Not Specified,TRUE,TRUE,FALSE,TRUE,FALSE,2.2,TRUE,FALSE,Not Specified,FALSE,0,None,None,TRUE,1.9
Wendy Garcia,Average,87.06,Front,Mathematics:51.46; Art:52.21; Physics:64.16; Chemistry:45.94; History:61.47; English Language:60.76; Geography:58.49; Biology:44.06,Moderate,Low,FALSE,Moderate,Needs Improvement,Low,Separated,4125.52,Not Specified,TRUE,TRUE,FALSE,TRUE,FALSE,4.8,FALSE,TRUE,Not Specified,FALSE,0,None,None,FALSE,0
Joshua Patrick,Average,87.42,Back,Mathematics:48.39; Art:49.63; Physics:56.00; Chemistry:54.70; History:52.19; English Language:54.65; Geography:57.44; Biology:52.07,Low,Low,FALSE,Not Specified,Moderate,Moderate,Divorced,3782.29,Not Specified,FALSE,TRUE,TRUE,FALSE,FALSE,4.7,FALSE,FALSE,Not Specified,FALSE,0,None,None,TRUE,1.7
Cameron Ballard,Average,92.75,Back,Mathematics:71.46; Art:74.03; Physics:73.55; Chemistry:68.33; History:68.79; English Language:69.36; Geography:70.67; Biology:69.88,Moderate,Low,TRUE,High,Moderate,None,Separated,3387.45,Shared,TRUE,TRUE,TRUE,FALSE,FALSE,2.6,FALSE,TRUE,Not Specified,FALSE,0,None,None,FALSE,0
Regina Avila,Good,93.58,Back,Mathematics:85.37; Art:84.91; Physics:87.13; Chemistry:94.90; History:84.24; English Language:96.53; Geography:82.17; Biology:85.08,Low,Low,FALSE,Not Specified,Moderate,Moderate,Divorced,1824.88,Not Specified,TRUE,TRUE,FALSE,FALSE,TRUE,2.9,TRUE,TRUE,Gaming,FALSE,2.1,None,None,TRUE,1.2
Bruce Peterson,Average,78.07,Side,Mathematics:72.21; Art:74.14; Physics:70.80; Chemistry:79.24; History:67.45; English Language:72.77; Geography:65.08; Biology:69.56,Moderate,Low,FALSE,Low,Moderate,Moderate,Divorced,3168.46,Not Specified,FALSE,FALSE,TRUE,FALSE,FALSE,5.2,TRUE,FALSE,Not Specified,FALSE,0,None,None,TRUE,1
Erica Sanchez,Average,83.31,Middle,Mathematics:57.81; Art:61.03; Physics:58.33; Chemistry:48.88; History:57.51; English Language:60.73; Geography:51.36; Biology:61.71,Moderate,Moderate,FALSE,Not Specified,Good,Moderate,Divorced,3954,Shared,TRUE,TRUE,FALSE,FALSE,TRUE,3.6,FALSE,TRUE,Other,FALSE,1.2,None,None,FALSE,0
Kelly Johnson,Average,92.53,Middle,Mathematics:64.63; Art:63.91; Physics:63.36; Chemistry:78.20; History:70.59; English Language:65.29; Geography:59.88; Biology:66.77,Moderate,Low,FALSE,High,Good,High,Divorced,3853.1,Rented,TRUE,FALSE,FALSE,TRUE,TRUE,4.5,FALSE,FALSE,Not Specified,FALSE,0,None,None,TRUE,1.1
Melissa Atkins,Average,99.12,Side,Mathematics:43.04; Art:48.58; Physics:49.35; Chemistry:54.42; History:57.13; English Language:53.06; Geography:55.42; Biology:52.02,Low,Moderate,TRUE,High,Needs Improvement,High,Widowed,1013.86,Not Specified,TRUE,TRUE,FALSE,FALSE,TRUE,5.7,TRUE,TRUE,Not Specified,FALSE,0,None,None,TRUE,1.3
Gordon Glover,Average,77.61,Side,Mathematics:65.38; Art:62.48; Physics:52.99; Chemistry:55.38; History:56.57; English Language:58.33; Geography:56.15; Biology:60.34,High,Moderate,TRUE,Low,Moderate,None,Divorced,1866.19,Not Specified,FALSE,TRUE,FALSE,FALSE,TRUE,5.6,TRUE,TRUE,Other,TRUE,1.6,Positive,None,FALSE,0
Bradley Reyes,Good,85.42,Side,Mathematics:75.75; Art:88.16; Physics:82.64; Chemistry:83.79; History:82.55; English Language:88.01; Geography:82.85; Biology:87.51,Moderate,Moderate,FALSE,High,Needs Improvement,High,Widowed,2398.89,Not Specified,TRUE,TRUE,FALSE,TRUE,FALSE,3.3,TRUE,FALSE,Not Specified,FALSE,0,None,None,FALSE,0
Robert Fischer,Average,77.63,Front,Mathematics:66.29; Art:63.75; Physics:68.94; Chemistry:59.51; History:54.94; English Language:62.42; Geography:60.79; Biology:54.36,Low,High,FALSE,Not Specified,Good,Moderate,Separated,2531.52,Rented,FALSE,TRUE,TRUE,TRUE,TRUE,3,FALSE,FALSE,Not Specified,FALSE,0,None,None,TRUE,1.4
Joseph Francis,Average,90.89,Front,Mathematics:63.21; Art:67.32; Physics:62.25; Chemistry:67.18; History:66.05; English Language:64.93; Geography:69.78; Biology:57.13,Low,Low,FALSE,Low,Needs Improvement,Low,Separated,966.49,Temporary Shelter,FALSE,FALSE,TRUE,TRUE,FALSE,3.4,FALSE,TRUE,Not Specified,FALSE,0,None,None,FALSE,0
Mark Lawson,Average,85.38,Back,Mathematics:58.52; Art:63.02; Physics:61.97; Chemistry:57.47; History:58.45; English Language:65.68; Geography:59.28; Biology:55.64,Moderate,Low,TRUE,Moderate,Good,None,Married,4391.91,Temporary Shelter,TRUE,FALSE,FALSE,TRUE,TRUE,5.3,FALSE,FALSE,Not Specified,FALSE,0,None,None,TRUE,1.5
Mason Bell,Good,97.73,Front,Mathematics:85.39; Art:95.24; Physics:88.68; Chemistry:87.62; History:100.00; English Language:97.37; Geography:100.00; Biology:86.69,Low,Low,FALSE,High,Needs Improvement,Low,Divorced,4841.19,Rented,TRUE,TRUE,TRUE,FALSE,FALSE,2.2,FALSE,TRUE,Not Specified,FALSE,0,None,None,FALSE,0
Christopher Martinez,Average,82.35,Front,Mathematics:69.29; Art:74.86; Physics:78.18; Chemistry:71.33; History:77.51; English Language:77.99; Geography:81.22; Biology:74.30,Low,Moderate,FALSE,Not Specified,Needs Improvement,Moderate,Widowed,3278.16,Temporary Shelter,TRUE,FALSE,TRUE,FALSE,FALSE,5.9,FALSE,TRUE,Entertainment,FALSE,3.9,None,None,TRUE,1.9
Tina Jones,Average,77.23,Back,Mathematics:46.07; Art:35.16; Physics:42.34; Chemistry:29.16; History:43.00; English Language:41.87; Geography:46.58; Biology:34.69,High,Low,FALSE,Moderate,Good,Low,Divorced,2701.1,Owned,TRUE,FALSE,FALSE,TRUE,FALSE,4.9,TRUE,FALSE,Not Specified,FALSE,0,None,None,FALSE,0
William Morris,Average,78.92,Side,Mathematics:56.75; Art:55.72; Physics:43.34; Chemistry:60.57; History:55.88; English Language:56.28; Geography:58.06; Biology:51.95,Low,Low,FALSE,Low,Good,Moderate,Divorced,687.63,Owned,FALSE,TRUE,FALSE,FALSE,FALSE,2.6,FALSE,FALSE,Not Specified,FALSE,0,None,None,TRUE,2
Julie Cantu,Good,97.12,Front,Mathematics:75.75; Art:80.88; Physics:83.86; Chemistry:77.12; History:78.90; English Language:78.88; Geography:76.37; Biology:71.38,Moderate,Low,FALSE,High,Moderate,Moderate,Separated,515.89,Shared,FALSE,TRUE,TRUE,TRUE,FALSE,3.2,TRUE,TRUE,Not Specified,FALSE,0,None,None,TRUE,0.6
Jeffery Reed,Good,80.85,Side,Mathematics:95.03; Art:89.31; Physics:85.26; Chemistry:95.00; History:93.38; English Language:100.00; Geography:89.71; Biology:90.97,High,Moderate,TRUE,Not Specified,Moderate,None,Separated,2867.85,Not Specified,TRUE,FALSE,FALSE,FALSE,TRUE,4.4,FALSE,TRUE,Education,FALSE,2.3,None,None,TRUE,1.3
Amber Green,Average,92.07,Side,Mathematics:43.58; Art:45.80; Physics:38.95; Chemistry:44.91; History:43.08; English Language:37.66; Geography:58.87; Biology:43.21,High,Low,FALSE,Low,Good,High,Divorced,1505.85,Rented,TRUE,FALSE,FALSE,FALSE,FALSE,2.3,TRUE,TRUE,Entertainment,FALSE,2,None,None,TRUE,1.1
Sarah Koch,Average,83.66,Front,Mathematics:60.03; Art:58.42; Physics:61.63; Chemistry:72.90; History:64.43; English Language:65.79; Geography:68.77; Biology:76.22,Moderate,Low,TRUE,Not Specified,Good,Low,Married,3648.82,Rented,FALSE,FALSE,FALSE,TRUE,FALSE,3.7,TRUE,TRUE,Education,FALSE,1.6,None,None,TRUE,0.7
Lawrence Wright,Average,84.78,Front,Mathematics:75.11; Art:64.51; Physics:82.58; Chemistry:68.36; History:72.15; English Language:70.51; Geography:70.99; Biology:66.72,High,High,TRUE,High,Moderate,Moderate,Married,4497.78,Not Specified,FALSE,TRUE,FALSE,FALSE,FALSE,3.7,FALSE,TRUE,Not Specified,FALSE,0,None,None,FALSE,0
Dr. Benjamin Montoya II,Average,92.44,Back,Mathematics:67.35; Art:61.46; Physics:73.25; Chemistry:62.81; History:55.11; English Language:57.79; Geography:61.45; Biology:56.26,Moderate,Moderate,TRUE,High,Needs Improvement,None,Widowed,2209.52,Temporary Shelter,FALSE,TRUE,FALSE,FALSE,TRUE,3.7,FALSE,FALSE,Not Specified,FALSE,0,None,None,TRUE,1.7
Steven Bishop,Needs Improvement,79.67,Middle,Mathematics:30.81; Art:35.72; Physics:34.10; Chemistry:30.77; History:39.30; English Language:29.93; Geography:44.08; Biology:38.97,Low,Moderate,TRUE,High,Good,Moderate,Married,3189.11,Not Specified,FALSE,TRUE,FALSE,FALSE,FALSE,5.4,FALSE,FALSE,Not Specified,FALSE,0,None,None,FALSE,0
Ronald Church,Good,98.09,Front,Mathematics:97.74; Art:95.29; Physics:97.21; Chemistry:92.32; History:84.38; English Language:100.00; Geography:92.34; Biology:89.16,Moderate,Moderate,TRUE,High,Needs Improvement,Low,Separated,4537.56,Rented,TRUE,FALSE,FALSE,TRUE,TRUE,3.3,TRUE,TRUE,Gaming,TRUE,1,Neutral,Entertainment,FALSE,0
Chelsea Hodge,Average,88.54,Back,Mathematics:71.43; Art:74.02; Physics:75.89; Chemistry:71.54; History:72.43; English Language:70.44; Geography:80.46; Biology:76.89,High,Moderate,TRUE,Moderate,Needs Improvement,Moderate,Married,640.67,Not Specified,FALSE,FALSE,TRUE,TRUE,FALSE,3.8,TRUE,TRUE,Gaming,TRUE,3.1,None,News,TRUE,0.5
Paula Zimmerman,Average,75.68,Front,Mathematics:50.21; Art:44.20; Physics:49.25; Chemistry:50.18; History:50.80; English Language:50.85; Geography:49.18; Biology:49.29,High,High,TRUE,Moderate,Good,Moderate,Married,3902.08,Owned,TRUE,TRUE,TRUE,TRUE,FALSE,4.9,FALSE,TRUE,Other,TRUE,2.6,Positive,News,TRUE,0.6
Gloria Underwood,Average,93.71,Side,Mathematics:45.69; Art:56.08; Physics:48.06; Chemistry:58.18; History:53.97; English Language:52.38; Geography:47.97; Biology:54.76,High,High,FALSE,High,Good,None,Divorced,1962.83,Temporary Shelter,TRUE,TRUE,TRUE,FALSE,TRUE,2.2,TRUE,TRUE,Not Specified,FALSE,0,None,None,TRUE,1.9
Patricia Little,Average,84.2,Back,Mathematics:72.24; Art:73.31; Physics:59.39; Chemistry:66.57; History:71.70; English Language:74.53; Geography:67.47; Biology:72.54,Moderate,High,TRUE,Low,Needs Improvement,Moderate,Divorced,3258.14,Rented,TRUE,TRUE,TRUE,FALSE,TRUE,2.5,FALSE,TRUE,Entertainment,FALSE,1.8,None,None,FALSE,0
David Cox,Average,90.22,Side,Mathematics:50.46; Art:50.56; Physics:53.49; Chemistry:53.62; History:48.91; English Language:55.55; Geography:52.96; Biology:49.37,High,High,TRUE,Low,Good,None,Separated,2555.57,Shared,FALSE,FALSE,TRUE,FALSE,FALSE,4.5,TRUE,TRUE,Entertainment,TRUE,1.3,Neutral,Entertainment,FALSE,0
Tara Mosley,Average,78.32,Back,Mathematics:68.90; Art:62.10; Physics:65.56; Chemistry:55.63; History:72.22; English Language:61.71; Geography:59.13; Biology:71.14,Moderate,Moderate,FALSE,Not Specified,Moderate,Low,Divorced,3757.04,Temporary Shelter,FALSE,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,Not Specified,FALSE,0,None,None,FALSE,0
Brianna Perez,Average,98.84,Back,Mathematics:61.81; Art:53.00; Physics:55.80; Chemistry:61.56; History:60.67; English Language:59.11; Geography:60.68; Biology:59.02,Moderate,Low,TRUE,Moderate,Good,Moderate,Single,2701.05,Owned,TRUE,TRUE,FALSE,FALSE,TRUE,2.1,FALSE,FALSE,Not Specified,FALSE,0,None,None,FALSE,0
William Jones,Good,89.36,Side,Mathematics:73.96; Art:73.52; Physics:73.62; Chemistry:79.37; History:81.71; English Language:80.30; Geography:72.39; Biology:80.56,High,Moderate,TRUE,Not Specified,Moderate,High,Married,2221.62,Temporary Shelter,TRUE,TRUE,FALSE,FALSE,TRUE,3.9,TRUE,FALSE,Not Specified,FALSE,0,None,None,FALSE,0
Carolyn Torres,Average,96.62,Front,Mathematics:72.22; Art:60.67; Physics:67.30; Chemistry:62.32; History:66.60; English Language:61.73; Geography:64.56; Biology:79.70,High,Low,TRUE,Not Specified,Good,High,Widowed,3586.82,Owned,FALSE,TRUE,FALSE,FALSE,TRUE,2.2,FALSE,TRUE,Not Specified,FALSE,0,None,None,FALSE,0
Neil Anderson,Average,88.85,Side,Mathematics:42.39; Art:33.49; Physics:38.73; Chemistry:34.86; History:31.93; English Language:43.59; Geography:35.04; Biology:27.93,High,Moderate,TRUE,Moderate,Needs Improvement,None,Married,753.6,Not Specified,FALSE,FALSE,FALSE,TRUE,FALSE,4.8,TRUE,TRUE,Not Specified,FALSE,0,None,None,TRUE,1.5
Steven Chapman,Average,90.4,Middle,Mathematics:63.00; Art:57.64; Physics:74.57; Chemistry:67.30; History:57.30; English Language:71.45; Geography:64.47; Biology:71.88,High,Low,TRUE,Not Specified,Good,Low,Divorced,1678.32,Shared,TRUE,TRUE,FALSE,TRUE,TRUE,2.9,TRUE,TRUE,Not Specified,FALSE,0,None,None,FALSE,0
Stacey Padilla,Good,89.06,Middle,Mathematics:83.06; Art:69.99; Physics:80.07; Chemistry:78.84; History:72.86; English Language:78.42; Geography:69.41; Biology:78.11,High,Moderate,FALSE,Low,Moderate,Low,Widowed,2100.03,Temporary Shelter,TRUE,TRUE,FALSE,TRUE,FALSE,3.9,TRUE,FALSE,Not Specified,FALSE,0,None,None,FALSE,0
William Rich,Average,95.22,Back,Mathematics:54.93; Art:50.62; Physics:58.17; Chemistry:46.36; History:50.66; English Language:44.80; Geography:51.74; Biology:58.10,Low,Low,TRUE,Not Specified,Needs Improvement,None,Married,1063.23,Not Specified,FALSE,TRUE,TRUE,TRUE,FALSE,3.1,FALSE,FALSE,Not Specified,FALSE,0,None,None,FALSE,0
Manuel Matthews,Good,95.79,Back,Mathematics:79.40; Art:83.85; Physics:75.13; Chemistry:86.50; History:84.41; English Language:76.55; Geography:78.52; Biology:81.34,Moderate,High,TRUE,Low,Moderate,None,Separated,1692.66,Rented,TRUE,FALSE,FALSE,TRUE,TRUE,2.4,FALSE,TRUE,Other,FALSE,2.3,None,None,FALSE,0
Jennifer Brown,Average,77.67,Middle,Mathematics:74.79; Art:62.48; Physics:62.51; Chemistry:59.41; History:71.52; English Language:65.11; Geography:63.14; Biology:68.64,High,Low,TRUE,Low,Moderate,Moderate,Married,1668.52,Shared,TRUE,TRUE,FALSE,TRUE,FALSE,3.9,TRUE,FALSE,Not Specified,FALSE,0,None,None,TRUE,0.5
